speaker,start_time,end_time,text
MATT,00:21:48,00:23:06,"Yeah. You get the sense that this area, most of the people that live in this area are more rough-and-tumble than the already-rough people who live in Vasselheim, from what you've encountered. The buildings themselves all seem to be reinforced with iron plates and it looks like there is a very heavy trade in metalwork, and a lot of the construction of anything metallic appears to be coming through or from this portion of the town. As you approach closer to this statue, it's not just a statue. You see it is actually sitting atop what looks to be a large, blocky fortress-like temple. Unlike the Platinum Sanctuary, which is a very beautiful but simple array, this one has a crenellated top to each of these walled structures. You can see braziers blasting flame every 20 or so feet along the top of it. You can see, as you approach the front of this, there are two giant stone doorways with steps that look up to it and what looks to be two gargantuan war horns that spiral along the sides and then open up outward towards the entire city in front of it. I'm going to ask you guys to make a religion check, if you could."
TRAVIS,00:23:06,00:23:11,"Oh, I got this."
ORION,00:23:11,00:23:12,Natural 20!
TALIESIN,00:23:12,00:23:13,Yeah! Natural 20.
"TALIESIN, ORION",00:23:13,00:23:15,Boom!
ORION,00:23:15,00:23:19,That's so cool.
TRAVIS,00:23:19,00:23:20,Natural four.
TALIESIN,00:23:20,00:23:22,Because we know our shit.
MATT,00:23:22,00:24:01,"As you guys begin your approach, even in the darkness, you can see the figure, this human-like man. Barrel-chested. Massive muscles. What looks almost like iron bracers around his wrists. He is carved or sculpted from solid iron or plates that have been put together from some sort of iron initial structure. The beard is long and goes to about mid-chest. He carries in one hand this long, thick shortsword and has furs and leathers about his legs and midsection. You recognize this to be a very hefty depiction of the deity Kord."
"LAURA, SAM, TRAVIS",00:24:01,00:24:03,Kord?
TRAVIS,00:24:03,00:24:05,I admire his beard.
MATT,00:24:05,00:24:07,It is a beard worth admiring.
MARISHA,00:24:07,00:24:09,How might one spell Kord?
MATT,00:24:09,00:24:10,K-O-R-D.
MARISHA,00:24:10,00:24:12,Simple. I like that.
SAM,00:24:12,00:24:18,He's a god of some sort?
MATT,00:24:18,00:24:19,"He is, indeed."
TALIESIN,00:24:19,00:24:25,Tell us of this Kord. Try to find your notes of this Kord.
LAURA,00:24:25,00:24:30,He's a dwarven god?
