speaker,start_time,end_time,reason
MATT,03:40:38,03:40:38,invalid_range
TRAVIS,03:40:45,03:40:45,invalid_range
TRAVIS,03:41:15,03:41:15,invalid_range
LAURA,03:41:26,03:41:26,invalid_range
LIAM,03:41:33,03:41:33,invalid_range
TRAVIS,03:41:34,03:41:34,invalid_range
MATT,03:42:08,03:42:08,invalid_range
TALIESIN,03:42:38,03:42:38,invalid_range
MATT,03:42:53,03:42:53,invalid_range
MATT,03:43:13,03:43:13,invalid_range
MARISHA,03:43:17,03:43:17,invalid_range
MARISHA,03:43:49,03:43:49,invalid_range
MARISHA,03:44:03,03:44:03,invalid_range
MARISHA,03:44:41,03:44:41,invalid_range
TALIESIN,03:44:43,03:44:43,invalid_range
TRAVIS,03:44:59,03:44:59,invalid_range
MATT,03:46:13,03:46:13,invalid_range
MARISHA,03:46:41,03:46:41,invalid_range
TRAVIS,03:46:44,03:46:44,invalid_range
SAM,03:46:52,03:46:52,invalid_range
LAURA,03:46:55,03:46:55,invalid_range
SAM,03:47:12,03:47:12,invalid_range
SAM,03:47:18,03:47:18,invalid_range
TRAVIS,03:47:31,03:47:31,invalid_range
LAURA,03:47:44,03:47:44,invalid_range
TRAVIS,03:47:48,03:47:48,invalid_range
LAURA,03:48:13,03:48:13,invalid_range
MARISHA,03:49:19,03:49:19,invalid_range
MATT,03:49:26,03:49:26,invalid_range
LIAM,03:50:47,03:50:47,invalid_range
MATT,03:52:02,03:52:02,invalid_range
TRAVIS,03:53:07,03:53:07,invalid_range
LIAM,03:53:28,03:53:28,invalid_range
SAM,03:54:34,03:54:34,invalid_range
LAURA,03:54:40,03:54:40,invalid_range
TALIESIN,03:54:43,03:54:43,invalid_range
LIAM,03:54:57,03:54:57,invalid_range
LAURA,03:56:02,03:56:02,invalid_range
TALIESIN,03:56:54,03:56:54,invalid_range
LAURA,03:57:11,03:57:11,invalid_range
MARISHA,03:57:23,03:57:23,invalid_range
MARISHA,03:57:52,03:57:52,invalid_range
TRAVIS,03:58:18,03:58:18,invalid_range
TALIESIN,03:58:46,03:58:46,invalid_range
LIAM,03:59:02,03:59:02,invalid_range
LAURA,03:59:09,03:59:09,invalid_range
LAURA,03:59:31,03:59:31,invalid_range
MATT,03:59:40,03:59:40,invalid_range
LIAM,03:59:45,03:59:45,invalid_range
MARISHA,03:59:54,03:59:54,invalid_range
TRAVIS,03:59:59,03:59:59,invalid_range
LIAM,04:00:20,04:00:20,invalid_range
LIAM,04:00:31,04:00:31,invalid_range
LIAM,04:00:35,04:00:35,invalid_range
TALIESIN,04:03:39,04:03:39,invalid_range
TRAVIS,04:04:21,04:04:21,invalid_range
MARISHA,04:04:30,04:04:30,invalid_range
TALIESIN,04:04:36,04:04:36,invalid_range
MARISHA,04:05:22,04:05:22,invalid_range
TRAVIS,04:05:36,04:05:36,invalid_range
