speaker,start_time,end_time,emotion,scores
TALIESIN,00:21:52,00:21:54,disgust,"{'angry': 0.003593894187361002, 'calm': 0.0010285638272762299, 'disgust': 0.4598800837993622, 'fearful': 0.16402044892311096, 'happy': 0.0036649031098932028, 'sad': 0.36422762274742126, 'surprised': 0.0035844265948981047}"
SAM,00:21:54,00:21:58,disgust,"{'angry': 0.0016017882153391838, 'calm': 0.0006720811361446977, 'disgust': 0.8681027293205261, 'fearful': 0.012797830626368523, 'happy': 0.0013204562710598111, 'sad': 0.11298239976167679, 'surprised': 0.002522692084312439}"
ORION,00:21:58,00:22:07,disgust,"{'angry': 0.0032135590445250273, 'calm': 0.0004756237321998924, 'disgust': 0.9732282757759094, 'fearful': 0.0042805359698832035, 'happy': 0.0028353771194815636, 'sad': 0.01433832198381424, 'surprised': 0.0016283784061670303}"
SAM,00:22:07,00:22:11,sad,"{'angry': 0.0014840014046058059, 'calm': 0.0011376285692676902, 'disgust': 0.24333983659744263, 'fearful': 0.09877534955739975, 'happy': 0.0013563551474362612, 'sad': 0.651736319065094, 'surprised': 0.002170442370697856}"
LIAM,00:22:11,00:22:13,disgust,"{'angry': 0.00606394512578845, 'calm': 0.0009023024467751384, 'disgust': 0.8358422517776489, 'fearful': 0.05687979236245155, 'happy': 0.006869653705507517, 'sad': 0.09028219431638718, 'surprised': 0.0031598927453160286}"
ORION,00:22:13,00:22:14,disgust,"{'angry': 0.002289762254804373, 'calm': 0.000461942283436656, 'disgust': 0.9750362038612366, 'fearful': 0.0031025304924696684, 'happy': 0.0021048742346465588, 'sad': 0.014746698550879955, 'surprised': 0.0022580281365662813}"
LIAM,00:22:14,00:22:18,disgust,"{'angry': 0.009813573211431503, 'calm': 0.0015278990613296628, 'disgust': 0.6436260938644409, 'fearful': 0.1733558177947998, 'happy': 0.012051393277943134, 'sad': 0.15640346705913544, 'surprised': 0.003221785882487893}"
MATT,00:22:18,00:22:40,disgust,"{'angry': 0.00317345280200243, 'calm': 0.000500984548125416, 'disgust': 0.9787515997886658, 'fearful': 0.0026176716201007366, 'happy': 0.0027897553518414497, 'sad': 0.01025447528809309, 'surprised': 0.0019121173536404967}"
LIAM,00:22:40,00:22:42,sad,"{'angry': 0.0017514894716441631, 'calm': 0.002122507430613041, 'disgust': 0.20069047808647156, 'fearful': 0.17509931325912476, 'happy': 0.003069669473916292, 'sad': 0.6159055233001709, 'surprised': 0.0013609851012006402}"
ORION,00:22:42,00:22:51,disgust,"{'angry': 0.0028977422043681145, 'calm': 0.0004358391452115029, 'disgust': 0.9654536843299866, 'fearful': 0.006168587598949671, 'happy': 0.0026935702189803123, 'sad': 0.02029968425631523, 'surprised': 0.0020509676542133093}"
MATT,00:22:51,00:23:06,disgust,"{'angry': 0.003999975975602865, 'calm': 0.0004763380566146225, 'disgust': 0.9762211441993713, 'fearful': 0.0036028772592544556, 'happy': 0.004003857262432575, 'sad': 0.009963305667042732, 'surprised': 0.0017324869986623526}"
SAM,00:23:06,00:23:08,disgust,"{'angry': 0.004475997295230627, 'calm': 0.0004806380602531135, 'disgust': 0.9566659927368164, 'fearful': 0.009984957985579967, 'happy': 0.004275530111044645, 'sad': 0.021802274510264397, 'surprised': 0.0023146052844822407}"
MATT,00:23:08,00:23:10,disgust,"{'angry': 0.0024526265915483236, 'calm': 0.0014920808607712388, 'disgust': 0.4444971978664398, 'fearful': 0.11336839199066162, 'happy': 0.003276672912761569, 'sad': 0.4328448474407196, 'surprised': 0.002068107482045889}"
SAM,00:23:10,00:23:11,disgust,"{'angry': 0.005420441273599863, 'calm': 0.0005135122919455171, 'disgust': 0.9805136322975159, 'fearful': 0.0018374077044427395, 'happy': 0.0034610768780112267, 'sad': 0.005801281426101923, 'surprised': 0.0024525022599846125}"
MATT,00:23:11,00:23:12,disgust,"{'angry': 0.00271350285038352, 'calm': 0.0012669321149587631, 'disgust': 0.5854769349098206, 'fearful': 0.07876982539892197, 'happy': 0.0030943546444177628, 'sad': 0.326180100440979, 'surprised': 0.0024983633775264025}"
LAURA,00:23:12,00:23:14,disgust,"{'angry': 0.005361760035157204, 'calm': 0.001483069732785225, 'disgust': 0.5984094738960266, 'fearful': 0.13808616995811462, 'happy': 0.006181903649121523, 'sad': 0.24803288280963898, 'surprised': 0.002444746671244502}"
MARISHA,00:23:14,00:23:18,disgust,"{'angry': 0.003370392369106412, 'calm': 0.0004134317860007286, 'disgust': 0.9637283682823181, 'fearful': 0.007117131724953651, 'happy': 0.002759065479040146, 'sad': 0.020520025864243507, 'surprised': 0.0020914662163704634}"
MATT,00:23:18,00:23:21,disgust,"{'angry': 0.002145809354260564, 'calm': 0.0007776202401146293, 'disgust': 0.8759182095527649, 'fearful': 0.018503952771425247, 'happy': 0.002295190002769232, 'sad': 0.09842044115066528, 'surprised': 0.0019388275686651468}"
TRAVIS,00:23:21,00:23:22,disgust,"{'angry': 0.0022417090367525816, 'calm': 0.00044584021088667214, 'disgust': 0.9672235250473022, 'fearful': 0.004656094126403332, 'happy': 0.001925298827700317, 'sad': 0.021397897973656654, 'surprised': 0.002109547844156623}"
LIAM,00:23:22,00:23:23,sad,"{'angry': 0.0003281696990597993, 'calm': 0.0016174768097698689, 'disgust': 0.023103533312678337, 'fearful': 0.06102703884243965, 'happy': 0.00038622270221821964, 'sad': 0.9126347303390503, 'surprised': 0.0009029268985614181}"
MATT,00:23:23,00:23:24,sad,"{'angry': 0.0009614458540454507, 'calm': 0.0014971434138715267, 'disgust': 0.08496996760368347, 'fearful': 0.15963949263095856, 'happy': 0.0013095049653202295, 'sad': 0.7504008412361145, 'surprised': 0.0012216223403811455}"
SAM,00:23:24,00:23:28,disgust,"{'angry': 0.006020185071974993, 'calm': 0.0005430546007119119, 'disgust': 0.9645142555236816, 'fearful': 0.00756898894906044, 'happy': 0.004954242147505283, 'sad': 0.014885911718010902, 'surprised': 0.0015134208370000124}"
MATT,00:23:28,00:23:47,disgust,"{'angry': 0.0032437650952488184, 'calm': 0.0004698254051618278, 'disgust': 0.9777207970619202, 'fearful': 0.003039228031411767, 'happy': 0.0026633823290467262, 'sad': 0.011080068536102772, 'surprised': 0.0017829644493758678}"
LAURA,00:23:47,00:23:56,sad,"{'angry': 0.0012297224020585418, 'calm': 0.0013047789689153433, 'disgust': 0.12110017985105515, 'fearful': 0.14097659289836884, 'happy': 0.0012870627688243985, 'sad': 0.7325442433357239, 'surprised': 0.0015574507415294647}"
MATT,00:23:56,00:24:15,disgust,"{'angry': 0.005448734387755394, 'calm': 0.0006576415617018938, 'disgust': 0.919328510761261, 'fearful': 0.02349431812763214, 'happy': 0.005146196112036705, 'sad': 0.04371453821659088, 'surprised': 0.0022098871413618326}"
LAURA,00:24:15,00:24:16,sad,"{'angry': 0.0012637097388505936, 'calm': 0.0013686914462596178, 'disgust': 0.14739100635051727, 'fearful': 0.12746846675872803, 'happy': 0.0013388231163844466, 'sad': 0.7196904420852661, 'surprised': 0.0014788982225582004}"
MATT,00:24:16,00:24:17,sad,"{'angry': 0.0004073531017638743, 'calm': 0.0013972296146675944, 'disgust': 0.036175865679979324, 'fearful': 0.0513298325240612, 'happy': 0.00038737754221074283, 'sad': 0.9092164039611816, 'surprised': 0.001085940864868462}"
